studentid,subsidy
4397,2000
4398,1000
4399,2000
4400,2000
4401,2000
4402,2000
4403,2000
4408,2000
4409,1500
4410,2000
4411,2000
4416,0
4417,1500
4418,1500
4419,2000
4422,1500
4423,2000
4426,2000
4427,0
4434,2000
4435,2000
4452,2000
4453,2000
4454,2000
4455,1500
4460,2000
4461,2000
4464,2000
4465,2000
4472,2000
4473,2000
4476,2000
4477,1000
4480,2000
4481,2000
4484,0
4485,2000
4488,2000
4489,2000
4496,2000
4497,2000
4512,2000
4513,1500
4528,1500
4529,2000
4544,0
4545,2000
4548,0
4549,2000
4550,2000
4551,2000
4552,2000
4553,2000
4564,2000
4565,2000
4576,1000
4577,2000
4578,2000
4579,2000
4584,2000
4585,2000
4594,2000
4595,2000
4596,2000
4597,2000
4604,0
4605,0
4606,0
4607,0
4608,0
4609,0
4610,2000
4611,2000
4612,2000
4613,2000
4614,2000
4615,2000
4616,0
4617,0
4618,2000
4619,1500
4626,2000
4627,2000
4636,2000
4637,1500
4654,2000
4655,2000
4668,0
4669,0
4674,2000
4675,2000
4676,1500
4677,2000
4680,2000
4681,0
4682,2000
4683,2000
4688,2000
4689,2000
4690,2000
4691,2000
4694,0
4695,2000
4696,2000
4697,2000
4698,2000
4699,2000
4700,2000
4701,2000
4702,2000
4703,2000
4704,1500
4705,2000
4710,2000
4711,2000
4712,2000
4713,2000
4714,1500
4715,0
4718,2000
4719,2000
4730,2000
4731,2000
4742,2000
4743,1000
4746,2000
4747,2000
4748,2000
4749,2000
4752,2000
4753,2000
4766,0
4767,2000
4776,0
4777,2000
4778,0
4779,2000
4780,0
4781,1000
4788,2000
4789,2000
4796,2000
4797,2000
4798,2000
4799,1000
4800,2000
4801,2000
4802,2000
4803,2000
4818,2000
4819,2000
4822,2000
4823,2000
4826,2000
4827,2000
4828,0
4829,2000
4836,0
4837,2000
4846,2000
4847,2000
4860,2000
4861,2000
4864,2000
4865,2000
4866,1000
4867,2000
4876,2000
4877,2000
4880,2000
4881,2000
4882,2000
4883,1500
4888,0
4889,1000
4910,2000
4911,2000
4912,1500
4913,2000
4916,2000
4917,2000
4918,1500
4919,2000
4922,2000
4923,2000
4924,2000
4925,2000
4926,2000
4927,2000
4928,2000
4929,2000
4936,2000
4937,2000
4938,2000
4939,2000
4940,2000
4941,2000
4946,2000
4947,2000
4948,0
4949,1000
4956,0
4957,0
4958,2000
4959,2000
4960,1000
4961,1000
4966,2000
4967,2000
4968,2000
4969,2000
4970,2000
4971,2000
4984,2000
4985,2000
4990,2000
4991,2000
4996,2000
4997,2000
5004,1500
5005,2000
5012,0
5013,2000
5014,2000
5015,2000
5016,2000
5017,2000
5022,2000
5023,2000
5026,2000
5027,2000
5034,2000
5035,2000
5056,0
5057,2000
5066,2000
5067,2000
5068,2000
5069,1500
5072,1500
5073,2000
5078,2000
5079,2000
5086,0
5087,0
5090,1500
5091,2000
5094,2000
5095,2000
5098,2000
5099,2000
5102,2000
5103,2000
5114,2000
5115,1000
5118,1500
5119,2000
5120,1000
5121,0
5122,2000
5123,2000
5128,2000
5129,2000
5150,2000
5151,2000
5168,1500
5169,2000
5170,2000
5171,2000
5182,2000
5183,2000
5184,1000
5185,2000
5192,2000
5193,2000
5194,0
5195,1000
5196,0
5197,2000
5198,2000
5199,2000
5202,2000
5203,2000
5204,2000
5205,2000
5208,2000
5209,2000
5212,2000
5213,2000
5214,1000
5215,2000
5224,2000
5225,2000
5238,2000
5239,2000
5246,2000
5247,2000
5250,1500
5251,1500
5252,2000
5253,2000
5254,2000
5255,2000
5258,1000
5259,2000
5264,1500
5265,2000
5268,2000
5269,2000
5274,2000
5275,2000
5282,2000
5283,2000
5288,2000
5289,1000
5290,2000
5291,1000
5292,2000
5293,1000
5300,2000
5301,2000
5308,2000
5309,2000
5314,2000
5315,2000
5316,2000
5317,1000
5322,0
5323,2000
5326,2000
5327,1000
5346,2000
5347,1000
5352,0
5353,2000
5362,2000
5363,0
5368,2000
5369,2000
5372,2000
5373,2000
5382,2000
5383,2000
5384,2000
5385,2000
5386,0
5387,0
5390,2000
5391,2000
5394,2000
5395,2000
5398,2000
5399,2000
5408,0
5409,1000
5418,2000
5419,2000
5420,2000
5421,2000
5422,0
5423,2000
5428,2000
5429,2000
5430,0
5431,0
5434,2000
5435,2000
5438,2000
5439,1500
5444,2000
5445,1000
5460,2000
5461,1000
5462,2000
5463,2000
5470,2000
5471,1000
5474,2000
5475,1000
5478,2000
5479,2000
5488,1000
5489,1500
5508,0
5509,1000
5520,1500
5521,2000
5528,2000
5529,2000
5532,1500
5533,2000
5536,0
5537,1000
5544,1000
5545,2000
5548,0
5549,0
5554,2000
5555,0
5558,0
5559,0
5564,2000
5565,2000
5566,2000
5567,0
5574,2000
5575,2000
5578,2000
5579,2000
5580,1500
5581,2000
5594,2000
5595,0
5606,0
5607,0
5610,0
5611,0
5620,2000
5621,2000
5632,1500
5633,2000
5634,2000
5635,2000
5650,2000
5651,0
5662,1500
5663,2000
5670,0
5671,0
5672,0
5673,0
5692,0
5693,0
5700,0
5701,2000
5706,0
5707,0
5710,2000
5711,0
5718,2000
5719,2000
5720,2000
5721,2000
5722,0
5723,0
5724,0
5725,0
5726,2000
5727,2000
5728,2000
5729,2000
5754,2000
5755,2000
5764,2000
5765,0
5770,2000
5771,2000
5772,0
5773,2000
5776,2000
5777,2000
5778,2000
5779,0
5780,2000
5781,2000
5792,2000
5793,2000
5794,2000
5795,0
5818,2000
5819,2000
5822,2000
5823,2000
5830,2000
5831,2000
5832,0
5833,0
5834,2000
5835,2000
5840,2000
5841,0
5842,2000
5843,2000
5844,0
5845,0
5850,1000
5851,2000
5866,2000
5867,2000
5872,0
5873,0
5876,2000
5877,0
5884,0
5885,2000
5892,2000
5893,2000
5896,2000
5897,2000
5898,2000
5899,2000
5902,0
5903,0
5908,0
5909,0
5912,2000
5913,2000
5914,2000
5915,2000
5920,0
5921,2000
5922,0
5923,0
5934,2000
5935,2000
5938,1000
5939,2000
5954,2000
5955,2000
5956,2000
5957,0
5958,2000
5959,2000
5968,0
5969,0
5972,0
5973,0
5976,2000
5977,0
5978,2000
5979,2000
5984,0
5985,0
5994,2000
5995,0
6002,2000
6003,2000
6008,2000
6009,2000
6012,0
6013,0
6016,0
6017,0
6024,2000
6025,2000
6036,0
6037,0
6038,0
6039,0
6042,0
6043,0
6068,1000
6069,2000
6070,2000
6071,0
6074,0
6075,2000
6076,2000
6077,2000
6080,2000
6081,2000
6082,2000
6083,2000
6086,0
6087,0
6090,0
6091,0
6100,0
6101,0
6106,2000
6107,0
6112,2000
6113,2000
6126,1500
6127,2000
6132,0
6133,0
6136,2000
6137,2000
6138,2000
6139,2000
6142,2000
6143,0
6144,2000
6145,0
6146,1000
6147,0
6154,1500
6155,1500
6168,0
6169,2000
6170,2000
6171,2000
6176,0
6177,0
6178,0
6179,0
6182,2000
6183,2000
6198,0
6199,0
6200,2000
6201,2000
6204,2000
6205,2000
6206,2000
6207,2000
6218,2000
6219,2000
6220,2000
6221,2000
6224,0
6225,0
6234,2000
6235,2000
6242,0
6243,2000
6248,2000
6249,2000
6252,1500
6253,2000
6262,2000
6263,0
6278,0
6279,0
6290,2000
6291,2000
6292,2000
6293,2000
6304,0
6305,0
6312,2000
6313,0
6322,1500
6323,0
6338,2000
6339,2000
6346,2000
6347,2000
6348,2000
6349,2000
6358,2000
6359,0
6360,2000
6361,1000
6362,2000
6363,0
6370,1000
6371,2000
6376,0
6377,2000
6392,2000
6393,2000
6400,2000
6401,0
6408,2000
6409,0
6420,2000
6421,2000
6424,2000
6425,2000
6438,2000
6439,0
6444,2000
6445,0
6446,2000
6447,0
6456,2000
6457,2000
6460,1000
6461,0
6464,2000
6465,2000
6468,2000
6469,2000
6476,2000
6477,2000
6478,2000
6479,0
6482,2000
6483,0
6484,2000
6485,2000
6504,2000
6505,0
6506,2000
6507,0
6508,2000
6509,0
6532,2000
6533,0
6534,2000
6535,0
6540,2000
6541,2000
6544,2000
6545,2000
6550,2000
6551,2000
6552,2000
6553,0
6562,2000
6563,2000
6564,2000
6565,2000
6566,2000
6567,2000
6572,0
6573,0
6574,1500
6575,2000
6584,2000
6585,2000
6588,2000
6589,2000
6590,2000
6591,2000
6596,2000
6597,2000
6598,2000
6599,2000
6604,2000
6605,2000
6610,2000
6611,2000
6614,2000
6615,2000
6626,2000
6627,2000
6628,0
6629,0
6630,0
6631,0
6642,0
6643,0
6646,2000
6647,2000
6652,2000
6653,0
6656,2000
6657,2000
6666,2000
6667,2000
6670,2000
6671,2000
6682,2000
6683,2000
6686,2000
6687,2000
6702,2000
6703,2000
6708,2000
6709,2000
6710,0
6711,0
6716,2000
6717,2000
6730,2000
6731,2000
6736,2000
6737,2000
6738,2000
6739,2000
6740,1500
6741,2000
6754,2000
6755,2000
6756,2000
6757,2000
6760,2000
6761,2000
6764,0
6765,2000
6768,2000
6769,2000
6770,2000
6771,2000
6772,2000
6773,2000
6786,0
6787,2000
6800,0
6801,0
6806,2000
6807,2000
6824,2000
6825,2000
6828,2000
6829,2000
6830,2000
6831,2000
6838,2000
6839,2000
6844,2000
6845,2000
6846,2000
6847,2000
6856,0
6857,0
6858,2000
6859,2000
6872,2000
6873,2000
6874,0
6875,2000
6876,2000
6877,2000
6880,2000
6881,2000
6884,2000
6885,2000
6896,2000
6897,2000
6898,2000
6899,2000
6902,1000
6903,1000
6904,2000
6905,2000
6924,0
6925,0
6926,2000
6927,2000
6932,0
6933,0
6950,2000
6951,2000
6960,1500
6961,2000
6964,1000
6965,2000
6972,2000
6973,2000
6982,2000
6983,2000
6988,2000
6989,2000
6992,2000
6993,2000
6998,2000
6999,2000
7008,2000
7009,1000
7010,1000
7011,1000
7014,2000
7015,2000
7020,2000
7021,0
7022,1000
7023,2000
7032,2000
7033,2000
7034,2000
7035,2000
7038,2000
7039,2000
7042,2000
7043,2000
7044,0
7045,2000
7046,2000
7047,0
7060,2000
7061,2000
7068,2000
7069,2000
7072,1000
7073,2000
7078,0
7079,2000
7084,2000
7085,2000
7086,2000
7087,2000
7094,2000
7095,2000
7102,0
7103,2000
7114,2000
7115,2000
7116,2000
7117,2000
7122,2000
7123,2000
7124,2000
7125,2000
7128,2000
7129,2000
7136,2000
7137,2000
7142,2000
7143,2000
7144,2000
7145,2000
7152,2000
7153,2000
7156,0
7157,0
7158,0
7159,2000
7160,2000
7161,2000
7162,0
7163,2000
7164,2000
7165,0
7166,0
7167,2000
7178,2000
7179,2000
7180,2000
7181,2000
7184,1500
7185,2000
7186,1500
7187,2000
7192,0
7193,2000
7198,2000
7199,1000
7208,2000
7209,2000
7218,2000
7219,2000
7220,0
7221,0
7222,2000
7223,2000
7228,2000
7229,2000
7234,0
7235,0
7254,2000
7255,2000
7256,2000
7257,2000
7258,0
7259,1000
7260,0
7261,2000
7264,2000
7265,2000
7266,2000
7267,2000
7268,2000
7269,1000
7272,2000
7273,2000
7278,1500
7279,2000
7280,2000
7281,2000
7282,1500
7283,2000
7288,0
7289,2000
7298,2000
7299,1000
7312,2000
7313,2000
7326,2000
7327,2000
7334,2000
7335,2000
7338,2000
7339,2000
7346,2000
7347,2000
7354,0
7355,0
7356,0
7357,2000
7360,0
7361,2000
7370,2000
7371,2000
7372,2000
7373,2000
7376,0
7377,0
7378,2000
7379,0
7382,1500
7383,2000
7384,1000
7385,2000
7390,1000
7391,1000
7392,2000
7393,2000
7402,2000
7403,2000
7406,2000
7407,2000
7416,2000
7417,0
7418,2000
7419,2000
7428,1000
7429,2000
7430,2000
7431,2000
7446,2000
7447,2000
7450,2000
7451,1000
7452,1000
7453,1000
7458,2000
7459,2000
7460,2000
7461,0
7466,2000
7467,2000
7470,2000
7471,2000
7478,2000
7479,2000
7486,2000
7487,2000
7490,2000
7491,2000
7500,2000
7501,2000
7516,2000
7517,1000
7518,2000
7519,2000
7522,2000
7523,2000
7524,2000
7525,2000
